,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
0,frozenset({'NA'}),frozenset({'Unknown'}),0.9687609110539358,0.9999898304740016,0.9687609110539358,1.0,1.0000101696294188,9.851839271157736e-06,inf
1,frozenset({'Unknown'}),frozenset({'NA'}),0.9999898304740016,0.9687609110539358,0.9687609110539358,0.9687707629933966,1.0000101696294188,9.851839271157736e-06,1.0003154716671019
2,frozenset({'NA'}),frozenset({'Yes'}),0.9687609110539358,0.7927964727564049,0.7927800885200741,0.8183444227302602,1.032225105499057,0.024749855292232503,1.140639502281393
3,frozenset({'Yes'}),frozenset({'NA'}),0.7927964727564049,0.9687609110539358,0.7927800885200741,0.9999793336160114,1.032225105499057,0.024749855292232503,1511.589495450592
4,"frozenset({'NA', 'Yes'})",frozenset({'Unknown'}),0.7927800885200741,0.9999898304740016,0.7927800885200741,1.0,1.0000101696294188,8.062197721203646e-06,inf
5,"frozenset({'NA', 'Unknown'})",frozenset({'Yes'}),0.9687609110539358,0.7927964727564049,0.7927800885200741,0.8183444227302602,1.032225105499057,0.024749855292232503,1.140639502281393
6,"frozenset({'Yes', 'Unknown'})",frozenset({'NA'}),0.7927863032304064,0.9687609110539358,0.7927800885200741,0.9999921609262079,1.0322383464443203,0.024759707131503772,3985.048460390033
7,frozenset({'NA'}),"frozenset({'Yes', 'Unknown'})",0.9687609110539358,0.7927863032304064,0.7927800885200741,0.8183444227302602,1.0322383464443203,0.024759707131503772,1.1406954847408983
8,frozenset({'Yes'}),"frozenset({'NA', 'Unknown'})",0.7927964727564049,0.9687609110539358,0.7927800885200741,0.9999793336160114,1.032225105499057,0.024749855292232503,1511.589495450592
9,frozenset({'Unknown'}),"frozenset({'NA', 'Yes'})",0.9999898304740016,0.7927800885200741,0.7927800885200741,0.7927881507997849,1.0000101696294188,8.062197721203646e-06,1.0000389083913008
10,frozenset({'Driver'}),frozenset({'NA'}),0.7873602961365971,0.9687609110539358,0.7873602961365971,1.0,1.0322464383003218,0.02459641832361059,inf
11,frozenset({'NA'}),frozenset({'Driver'}),0.9687609110539358,0.7873602961365971,0.7873602961365971,0.8127498613460888,1.0322464383003216,0.02459641832361059,1.1355917031197427
12,frozenset({'Driver'}),frozenset({'Unknown'}),0.7873602961365971,0.9999898304740016,0.7873602961365971,1.0,1.0000101696294188,8.007081001681904e-06,inf
13,frozenset({'Unknown'}),frozenset({'Driver'}),0.9999898304740016,0.7873602961365971,0.7873602961365971,0.7873683032990278,1.0000101696294188,8.007081001681904e-06,1.000037657426221
14,frozenset({'Driver'}),frozenset({'Yes'}),0.7873602961365971,0.7927964727564049,0.6475208390536917,0.822394578734708,1.0373338012912647,0.02330437348815917,1.1666509150871696
